GeoLocationCode,Count
-XX,4
A0-A1,15
A0B0-A1,4
A0B0-XX,1
A1B1-A1,27
K1T0P1A1-P1A1,2
K1T0P1A1B0-P1A1,36530
K1T0P1B0-P1,2
K1T1A1-T1A1,1
K1T1A1B0-T1A1,1
K1T1P0A1B0-T1A1,4
K1T1P1A1-T1P1A1,1
K1T1P1A1B0-T1P1A1,984
K1T1P1A1B0-T6P1A1,1
K1T2P1A1B0-T1P1A1,37
K1T2P1A1B0-T6P1A1,2
K1T3P1A1B0-T1P1A1,6
K1T4P1A1B0-T1P1A1,1
K1T6P1A1B0-T1P1A1,1
K2T0P1A1B0-P1A1,1
M1T0P1A1B0-P1A1,1021
M1T1P1A1B0-T1P1A1,29
P0-XX,2
P1-XX,19
P1A0B0-XX,2
P1A1-A1,199
P1A1-S1A1,1
P1A1B0-A1,460
P1A1B0-S6A1,1
S0-XX,19
S0A0-A1,312
S0A1B1-A1,29
S0P0A0-A1,4
S0P0A1B1-A1,1
S0P1A1B0-S1A1,10
S0T0A0-A1,36
S0T0A0B0-A1,17
S0T0A1B1-A1,39
S0T0P0A0-A1,6
S0T0P0A0-XX,1
S0T0P0A0B0-XX,3
S0T0P0A0B6-A1B1,1
S0T0P0B1-XX,1
S0T0P1A0B0-S1,2
S0T0P1A1B0-S1A1,175
S0T10A1-S1A1,1
S0T11-XX,1
S0T11A1-S1A1,1
S0T11P1A1B0-S1T6A1,1
S0T12A1B0-S1A1,1
S0T13P1A1B0-S1T1A1,1
S0T16P1A1B0-S1T6A1,2
S0T18P1A1B0-S1T6A1,2
S0T1A1-S1A1,8
S0T1A1B0-S1A1,310
S0T1P0A1B0-S1A1,35
S0T1P1A1-S1T1A1,5
S0T1P1A1-S1T6A1,2
S0T1P1A1B0-S1T1A1,5792
S0T1P1A1B0-S1T6A1,70
S0T2A1-S1A1,1
S0T2A1B0-S1A1,51
S0T2P0A1B0-S1A1,2
S0T2P1A1B0-S1T1A1,363
S0T2P1A1B0-S1T6A1,9
S0T3A1B0-S1A1,3
S0T3P1A1B0-S1T1A1,33
S0T3P1A1B0-S1T6A1,1
S0T4P0A1B0-S1A1,3
S0T4P1A1B0-S1T1A1,8
S0T5P1A1B0-S1T1A1,4
S0T5P1A1B0-S1T6A1,2
S0T6P1A1B0-S1T1A1,7
S0T6P1A1B0-S1T6A1,1
S0T72A1B0-S1A1,1
S0T81P1A1-S1T6A1,1
S0T8P1A1B0-S1T1A1,3
S0T99P1A1B0-S1T6A1,2
S0T9P1A1B0-S1T6A1,1
S10T1P1A1B0-T1P1A1,3
S12T2P1A1B0-T1P1A1,1
S13T1P1A1B0-T1P1A1,1
S15T1P1A1B0-T1P1A1,1
S17T1P1A1B0-T1P1A1,1
S18T1P1A1B0-T1P1A1,1
S19T2P1A1B0-T1P1A1,2
S1P1A1B0-P1A1,1
S1T0P1A1B0-P1A1,102
S1T16P1A1B0-T1P1A1,1
S1T18P1A1B0-T6P1A1,3
S1T19P1A1B0-T1P1A1,1
S1T1A1-T1A1,1
S1T1A1-T6A1,1
S1T1A1B0-T1A1,8
S1T1A1B0-T6A1,2
S1T1P0A1B0-T1A1,10
S1T1P1A1-T1P1A1,27
S1T1P1A1B0-T1P1A1,23362
S1T1P1A1B0-T6P1A1,29
S1T20P1A1B0-T6P1A1,1
S1T2P0A1B0-T1A1,1
S1T2P1A1-T1P1A1,3
S1T2P1A1B0-T1P1A1,1388
S1T2P1A1B0-T6P1A1,12
S1T37P1A1B0-T6P1A1,1
S1T3P1A1-T1P1A1,1
S1T3P1A1B0-T1P1A1,142
S1T3P1A1B0-T6P1A1,3
S1T4P1A1B0-T1P1A1,53
S1T4P1A1B0-T6P1A1,1
S1T5P1A1B0-T1P1A1,19
S1T5P1A1B0-T6P1A1,5
S1T6P1A1B0-T1P1A1,22
S1T7P1A1B0-T1P1A1,5
S1T8P1A1B0-T1P1A1,8
S1T9A1-T6A1,1
S26T1P1A1B0-T1P1A1,1
S29T1P1A1B0-T1P1A1,2
S2T0P1A1B0-P1A1,2
S2T1A1B0-T1A1,1
S2T1P1A1B0-T1P1A1,81
S2T2P1A1B0-T1P1A1,10
S2T37P1A1B0-T6P1A1,1
S2T5P1A1B0-T6P1A1,3
S2T7P1A1B0-T1P1A1,1
S38T1P1A1B0-T1P1A1,1
S3T1A1B0-T1A1,2
S3T1P1A1B0-T1P1A1,13
S3T2P1A1B0-T1P1A1,3
S4T0P1A1B0-P1A1,1
S4T1P1A1B0-T1P1A1,9
S5T1P1A1B0-T1P1A1,4
S6T1P1A1B0-T1P1A1,1
S7T1P1A1B0-T1P1A1,3
S7T2P1A1B0-T1P1A1,1
S8T1P1A1B0-T1P1A1,1
T0A0-A1,27
T0A0B0-A1,1
T0A1B1-A1,29
T0P0-XX,2
T0P1A1-A1,13
T0P1A1B0-A1,26
T0P1A1B0-S1A1,6
T0P1A1B0-S6A1,19
T1A1-A1,21
T1A1B0-A1,1178
T1A1B0-S1A1,1
T1P0A1-A1,4
T1P0A1B0-A1,38
T1P1-T1,1
T1P1A1-T1A1,158
T1P1A1-T6A1,1
T1P1A1B0-S1T1A1,498
T1P1A1B0-S1T6A1,4
T1P1A1B0-S6T1A1,859
T1P1A1B0-S6T6A1,6
T1P1A1B0-T1A1,1727
T1P1A1B0-T6A1,11
T2A1-A1,3
T2A1B0-A1,52
T2P1A1-T1A1,6
T2P1A1B0-S1T1A1,27
T2P1A1B0-S1T6A1,1
T2P1A1B0-S6T1A1,52
T2P1A1B0-S6T6A1,2
T2P1A1B0-T1A1,125
T2P1A1B0-T6A1,5
T3A1B0-A1,8
T3P1A1-T1A1,1
T3P1A1-T6A1,1
T3P1A1B0-S1T1A1,5
T3P1A1B0-S1T6A1,1
T3P1A1B0-S6T1A1,2
T3P1A1B0-T1A1,11
T4A1B0-A1,2
T4P1A1B0-S1T1A1,3
T4P1A1B0-S6T1A1,3
T4P1A1B0-T1A1,7
T5A1B0-A1,1
T5P1A1B0-S6T1A1,1
T5P1A1B0-T1A1,3
T6A1B0-A1,1
T6P1A1B0-S1T1A1,3
T6P1A1B0-S6T1A1,2
T99P1A1B0-S1T6A1,1
T9P1A1-T6A1,1
